[2026-07-06  9:25:02,18] Demarrage collecte tick OFI 

============================================================
TICK OFI COLLECTOR  (reqTickByTickData + Lee-Ready)
============================================================
Host/Port      : 192.168.0.103:7496
Client ID      : 98
Exchange       : ISLAND
Symbols ( 5)  : AAPL, MSFT, NVDA, AMZN, META
Tick rotation  : desactivee (5 <= 5)
Sample OFI     : toutes les 5.0s
Duration       : 395 min
Output OFI     : logs\tick_ofi\tick_ofi_20260706_092503.csv
Output ticks   : logs\tick_ofi\tick_raw_20260706_092503.csv
============================================================

[OK] Connecté à IB
[OK] L1 souscrit pour 5 symboles
[OK] Ticks actifs  : AAPL, MSFT, NVDA, AMZN, META
[INFO] Warmup 3s...

[RUN] OFI agrégé  : logs\tick_ofi\tick_ofi_20260706_092503.csv
[RUN] Ticks bruts : logs\tick_ofi\tick_raw_20260706_092503.csv

[RUN] 0.9min | ticks=359 | grp1: AAPL ofi1m=-0.04 cnt=127 | MSFT ofi1m=+0.36 cnt=135 | NVDA ofi1m=-0.93 cnt=43
[RUN] 1.9min | ticks=609 | grp1: AAPL ofi1m=-0.24 cnt=40 | MSFT ofi1m=-0.27 cnt=54 | NVDA ofi1m=+0.67 cnt=37
[RUN] 2.9min | ticks=1054 | grp1: AAPL ofi1m=+0.23 cnt=137 | MSFT ofi1m=+0.55 cnt=80 | NVDA ofi1m=+0.16 cnt=94
[RUN] 3.9min | ticks=1473 | grp1: AAPL ofi1m=-0.54 cnt=123 | MSFT ofi1m=-0.62 cnt=29 | NVDA ofi1m=-0.16 cnt=61
[RUN] 4.9min | ticks=10101 | grp1: AAPL ofi1m=+0.98 cnt=1031 | MSFT ofi1m=+0.91 cnt=1371 | NVDA ofi1m=+0.90 cnt=4379
[RUN] 5.9min | ticks=21516 | grp1: AAPL ofi1m=+0.27 cnt=2599 | MSFT ofi1m=+0.26 cnt=1355 | NVDA ofi1m=-0.27 cnt=4708
[RUN] 6.9min | ticks=27542 | grp1: AAPL ofi1m=+0.04 cnt=1529 | MSFT ofi1m=-0.25 cnt=682 | NVDA ofi1m=+0.05 cnt=2522
[RUN] 7.9min | ticks=32272 | grp1: AAPL ofi1m=+0.16 cnt=717 | MSFT ofi1m=-0.04 cnt=678 | NVDA ofi1m=-0.01 cnt=2628
[RUN] 8.9min | ticks=36429 | grp1: AAPL ofi1m=+0.09 cnt=1169 | MSFT ofi1m=+0.19 cnt=322 | NVDA ofi1m=-0.13 cnt=1963
[RUN] 9.9min | ticks=41030 | grp1: AAPL ofi1m=-0.04 cnt=707 | MSFT ofi1m=-0.48 cnt=441 | NVDA ofi1m=+0.02 cnt=2472
[RUN] 10.9min | ticks=47864 | grp1: AAPL ofi1m=-0.18 cnt=719 | MSFT ofi1m=-0.40 cnt=904 | NVDA ofi1m=+0.03 cnt=3251
[RUN] 11.9min | ticks=54342 | grp1: AAPL ofi1m=+0.05 cnt=1179 | MSFT ofi1m=-0.18 cnt=1259 | NVDA ofi1m=-0.06 cnt=2529
[RUN] 13.0min | ticks=58671 | grp1: AAPL ofi1m=+0.07 cnt=442 | MSFT ofi1m=-0.22 cnt=543 | NVDA ofi1m=-0.02 cnt=2291
[RUN] 14.0min | ticks=61847 | grp1: AAPL ofi1m=-0.01 cnt=547 | MSFT ofi1m=-0.44 cnt=583 | NVDA ofi1m=+0.06 cnt=1205
[RUN] 15.0min | ticks=65664 | grp1: AAPL ofi1m=+0.08 cnt=479 | MSFT ofi1m=-0.45 cnt=980 | NVDA ofi1m=+0.26 cnt=1216
[RUN] 16.0min | ticks=68906 | grp1: AAPL ofi1m=-0.05 cnt=709 | MSFT ofi1m=-0.32 cnt=375 | NVDA ofi1m=+0.00 cnt=1514
[RUN] 17.0min | ticks=72126 | grp1: AAPL ofi1m=-0.26 cnt=526 | MSFT ofi1m=+0.50 cnt=546 | NVDA ofi1m=-0.24 cnt=1522
[RUN] 18.0min | ticks=75581 | grp1: AAPL ofi1m=+0.05 cnt=612 | MSFT ofi1m=+0.02 cnt=609 | NVDA ofi1m=+0.04 cnt=1392
[RUN] 19.0min | ticks=78108 | grp1: AAPL ofi1m=+0.18 cnt=441 | MSFT ofi1m=+0.16 cnt=347 | NVDA ofi1m=-0.16 cnt=1107
[RUN] 20.0min | ticks=80551 | grp1: AAPL ofi1m=+0.36 cnt=460 | MSFT ofi1m=+0.09 cnt=335 | NVDA ofi1m=+0.35 cnt=1133
[RUN] 21.0min | ticks=83763 | grp1: AAPL ofi1m=+0.17 cnt=570 | MSFT ofi1m=-0.01 cnt=479 | NVDA ofi1m=+0.08 cnt=1308
[RUN] 22.0min | ticks=86816 | grp1: AAPL ofi1m=+0.40 cnt=622 | MSFT ofi1m=+0.30 cnt=539 | NVDA ofi1m=-0.41 cnt=1369
[RUN] 23.0min | ticks=89890 | grp1: AAPL ofi1m=+0.11 cnt=621 | MSFT ofi1m=+0.46 cnt=289 | NVDA ofi1m=+0.01 cnt=1490
[RUN] 24.0min | ticks=92710 | grp1: AAPL ofi1m=-0.00 cnt=553 | MSFT ofi1m=+0.13 cnt=438 | NVDA ofi1m=+0.11 cnt=1180
[RUN] 25.0min | ticks=95613 | grp1: AAPL ofi1m=+0.19 cnt=601 | MSFT ofi1m=+0.21 cnt=325 | NVDA ofi1m=+0.05 cnt=1201
[RUN] 26.0min | ticks=98656 | grp1: AAPL ofi1m=+0.05 cnt=486 | MSFT ofi1m=+0.61 cnt=342 | NVDA ofi1m=+0.15 cnt=1689
[RUN] 27.0min | ticks=101529 | grp1: AAPL ofi1m=+0.21 cnt=817 | MSFT ofi1m=-0.23 cnt=480 | NVDA ofi1m=+0.02 cnt=1021
[RUN] 28.0min | ticks=105077 | grp1: AAPL ofi1m=-0.20 cnt=817 | MSFT ofi1m=-0.59 cnt=469 | NVDA ofi1m=+0.13 cnt=1401
[RUN] 29.0min | ticks=107742 | grp1: AAPL ofi1m=-0.23 cnt=397 | MSFT ofi1m=-0.23 cnt=294 | NVDA ofi1m=+0.05 cnt=1389
[RUN] 30.0min | ticks=111822 | grp1: AAPL ofi1m=+0.07 cnt=485 | MSFT ofi1m=-0.38 cnt=257 | NVDA ofi1m=+0.46 cnt=2718
