[2026-07-08  9:25:01,92] Demarrage collecte tick OFI 

============================================================
TICK OFI COLLECTOR  (reqTickByTickData + Lee-Ready)
============================================================
Host/Port      : 192.168.0.103:7496
Client ID      : 98
Exchange       : ISLAND
Symbols ( 5)  : AAPL, MSFT, NVDA, AMZN, META
Tick rotation  : desactivee (5 <= 5)
Sample OFI     : toutes les 5.0s
Duration       : 395 min
Output OFI     : logs\tick_ofi\tick_ofi_20260708_092502.csv
Output ticks   : logs\tick_ofi\tick_raw_20260708_092502.csv
============================================================

[OK] Connecté à IB
[OK] L1 souscrit pour 5 symboles
[OK] Ticks actifs  : AAPL, MSFT, NVDA, AMZN, META
[INFO] Warmup 3s...

[RUN] OFI agrégé  : logs\tick_ofi\tick_ofi_20260708_092502.csv
[RUN] Ticks bruts : logs\tick_ofi\tick_raw_20260708_092502.csv

[RUN] 0.9min | ticks=265 | grp1: AAPL ofi1m=-0.29 cnt=86 | MSFT ofi1m=+0.99 cnt=14 | NVDA ofi1m=+0.94 cnt=86
[RUN] 1.9min | ticks=544 | grp1: AAPL ofi1m=+0.04 cnt=27 | MSFT ofi1m=+1.00 cnt=23 | NVDA ofi1m=+0.42 cnt=182
[RUN] 2.9min | ticks=1187 | grp1: AAPL ofi1m=+0.08 cnt=150 | MSFT ofi1m=-0.42 cnt=96 | NVDA ofi1m=-0.23 cnt=226
[RUN] 3.9min | ticks=1625 | grp1: AAPL ofi1m=-0.51 cnt=122 | MSFT ofi1m=-0.26 cnt=57 | NVDA ofi1m=-0.42 cnt=118
[RUN] 4.9min | ticks=5569 | grp1: AAPL ofi1m=+0.97 cnt=472 | MSFT ofi1m=+0.98 cnt=564 | NVDA ofi1m=-0.93 cnt=1803
[RUN] 5.9min | ticks=15097 | grp1: AAPL ofi1m=-0.43 cnt=1930 | MSFT ofi1m=-0.54 cnt=1955 | NVDA ofi1m=-0.18 cnt=2505
[RUN] 6.9min | ticks=24519 | grp1: AAPL ofi1m=-0.20 cnt=3068 | MSFT ofi1m=-0.20 cnt=1094 | NVDA ofi1m=+0.12 cnt=2404
[RUN] 7.9min | ticks=28842 | grp1: AAPL ofi1m=-0.04 cnt=766 | MSFT ofi1m=+0.18 cnt=520 | NVDA ofi1m=+0.20 cnt=1650
[RUN] 8.9min | ticks=32168 | grp1: AAPL ofi1m=-0.30 cnt=683 | MSFT ofi1m=+0.49 cnt=249 | NVDA ofi1m=+0.13 cnt=1810
[RUN] 9.9min | ticks=36033 | grp1: AAPL ofi1m=-0.23 cnt=1088 | MSFT ofi1m=+0.21 cnt=272 | NVDA ofi1m=+0.05 cnt=1343
[RUN] 10.9min | ticks=39880 | grp1: AAPL ofi1m=-0.15 cnt=977 | MSFT ofi1m=+0.55 cnt=382 | NVDA ofi1m=-0.10 cnt=1491
